id,type,name,url
http://id.loc.gov/authorities/names/n82126294,,New Mexico State Fair,http://data.library.amnh.org/archives-authorities/id/http://id.loc.gov/authorities/names/n82126294
http://id.loc.gov/authorities/names/n91094010,,Louisiana Purchase Exposition,http://data.library.amnh.org/archives-authorities/id/http://id.loc.gov/authorities/names/n91094010
amnhc_2000030,Expedition,Volk Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000030
amnhc_2000031,Expedition,Saville Expeditions to Mexico (1896-1904),http://data.library.amnh.org/archives-authorities/id/amnhc_2000031
amnhc_2000032,Expedition,Chapman Expedition to Yucatan,http://data.library.amnh.org/archives-authorities/id/amnhc_2000032
amnhc_2000033,Expedition,Peary Expedition to Greenland (6th : 1896),http://data.library.amnh.org/archives-authorities/id/amnhc_2000033
amnhc_2000036,Expedition,Chapman Expedition to Mexico,http://data.library.amnh.org/archives-authorities/id/amnhc_2000036
amnhc_2000037,Expedition,Hovey Geological Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000037
amnhc_2000038,Expedition,Jesup North Pacific Expedition (1897-1902),http://data.library.amnh.org/archives-authorities/id/amnhc_2000038
amnhp_1000214,Person,"Boas, Franz 1858-1942",http://data.library.amnh.org/archives-authorities/id/amnhp_1000214
amnhp_1000222,Person,"Bogoras, Waldemar 1865-1936",http://data.library.amnh.org/archives-authorities/id/amnhp_1000222
amnhp_1000681,Person,"Farrand, Livingston 1867-1939",http://data.library.amnh.org/archives-authorities/id/amnhp_1000681
amnhp_1001044,Person,"Hunt, George",http://data.library.amnh.org/archives-authorities/id/amnhp_1001044
amnhp_1001097,Person,"Jesup, Morris K. (Morris Ketchum) 1830-1908",http://data.library.amnh.org/archives-authorities/id/amnhp_1001097
amnhp_1002467,Person,"Jochelson-Brodsky, Dina",http://data.library.amnh.org/archives-authorities/id/amnhp_1002467
amnhp_1001098,Person,"Jochelson, Waldemar, 1855-1937",http://data.library.amnh.org/archives-authorities/id/amnhp_1001098
amnhp_1001230,Person,"Laufer, Berthold 1874-1934",http://data.library.amnh.org/archives-authorities/id/amnhp_1001230
amnhp_1001949,Person,"Smith, Harlan Ingersoll 1872-1940",http://data.library.amnh.org/archives-authorities/id/amnhp_1001949
