id1,id2,type,role,date
amnhc_2000135,amnhp_1000751,identity,,1916
amnhc_2000135,amnhp_1002333,identity,participantIn,1916
amnhc_2000135,amnhp_1002334,identity,participantIn,1916
amnhc_2000135,amnhp_1002335,identity,,1916
amnhc_2000135,amnhp_1001569,identity,,1916
amnhc_2000135,new,identity,,1916
amnhc_2000135,amnhp_1002336,identity,participantIn,1916
amnhc_2000135,amnhp_1002337,identity,,1916
amnhc_2000135,amnhp_1002338,identity,participantIn,1916
amnhc_2000135,amnhp_1002339,identity,,1916
amnhc_2000141,amnhp_1001702,identity,participantIn,1918
amnhc_2000141,amnhp_1000954,identity,participantIn,1918
amnhc_2000141,amnhc_0000001,identity,,1918
amnhc_2000154,amnhc_2000135,identity,,
amnhc_2000154,amnhc_2000167,identity,,
amnhc_2000154,amnhc_0000001,identity,,1918
amnhc_2000154,amnhp_1001569,identity,,1918
amnhc_2000154,amnhp_1000177,identity,,1918
amnhc_2000154,amnhp_1002331,identity,,1918
amnhc_2000154,amnhp_1000042,identity,participantIn,1918
amnhc_2000154,amnhp_1000043,identity,participantIn,1918
amnhc_2000154,amnhp_1002340,identity,participantIn,1918
amnhc_2000154,amnhp_1002341,identity,participantIn,1918
amnhc_2000154,amnhp_1002342,,participantIn,1918
amnhc_2000154,amnhp_1002343,identity,participantIn,1918
amnhc_2000154,amnhp_1002344,identity,participantIn,1918
amnhc_2000154,amnhp_1002345,identity,participantIn,1918
amnhc_2000154,amnhp_1002346,identity,participantIn,1918
amnhc_2000154,amnhp_1002347,identity,participantIn,1918
amnhc_2000154,amnhp_1002348,identity,participantIn,1918
amnhc_2000154,amnhp_1002349,identity,participantIn,1918
amnhc_2000154,amnhp_1002350,identity,participantIn,1919
amnhc_2000154,amnhp_1002351,identity,participantIn,1919
amnhc_2000154,amnhp_1002352,identity,participantIn,1918
amnhc_2000159,amnhc_2000029,identity,,1893
amnhc_2000159,amnhc_2000736,identity,,1896
amnhc_2000159,http://viaf.org/viaf/89832285,,,
amnhc_2000159,amnhp_1001511,identity,,1920
amnhc_2000159,amnhp_1001059,identity,,1893
amnhc_2000159,amnhp_1002558,identity,,1920
amnhc_2000164,amnhp_1000142,,participantIn,1920
amnhc_2000164,amnhp_1002468,,participantIn,1920
amnhc_2000164,amnhp_1002469,,participantIn,1927
amnhc_2000164,amnhp_1002470,,participantIn,1929
amnhc_2000164,amnhp_1000443,,participantIn,1923
amnhc_2000164,amnhp_1002471,,participantIn,1927
amnhc_2000164,amnhp_1000899,,participantIn,1927
amnhc_2000164,amnhp_1002472,,participantIn,1922
amnhc_2000164,amnhp_1000447,,participantIn,1929
amnhc_2000164,amnhp_1002473,,participantIn,1941
amnhc_2000164,amnhp_1001744,,participantIn,
amnhc_2000164,amnhp_1002474,,participantIn,1924
amnhc_2000164,amnhp_1001379,,participantIn,
amnhc_2000164,amnhp_1001493,,,
amnhc_2000164,amnhp_1002244,,,
amnhc_2000164,amnhp_1001837,,,
amnhc_2000164,amnhp_1000373,,,
amnhc_2000164,amnhp_1002475,,participantIn,1935
amnhc_2000164,amnhp_1002444,,participantIn,1920
amnhc_2000164,amnhp_1002476,,participantIn,1935
amnhc_2000164,amnhp_1002477,,participantIn,1923
amnhc_2000164,amnhc_0000001,,,1920
amnhc_2000164,http://id.loc.gov/authorities/names/n79079600.html,,collaboratesWith,
amnhc_2000164,amnhc_4000088,,,
amnhc_2000167,amnhc_2000135,identity,,1916
amnhc_2000167,amnhc_2000154,identity,,1918
amnhc_2000167,amnhc_2000141,identity,,1918
amnhc_2000167,amnhp_1000042,identity,participantIn,1921
amnhc_2000167,amnhp_1002368,identity,participantIn,1922
amnhc_2000167,amnhp_1002369,identity,participantIn,1926
amnhc_2000167,amnhp_1000171,identity,participantIn,1922
amnhc_2000167,amnhp_1000316,identity,participantIn,1925
amnhc_2000167,amnhp_1002370,identity,participantIn,1925
amnhc_2000167,amnhp_1002371,identity,participantIn,1922
amnhc_2000167,amnhp_1002372,identity,,1926
amnhc_2000167,amnhp_1002373,identity,participantIn,1930
amnhc_2000167,amnhp_1000837,identity,participantIn,1922
amnhc_2000167,amnhp_1000840,identity,participantIn,1921
amnhc_2000167,amnhp_1000991,identity,participantIn,1928
amnhc_2000167,amnhp_1002374,identity,participantIn,1928
amnhc_2000167,amnhp_1002375,identity,participantIn,1923
amnhc_2000167,amnhp_1002376,identity,participantIn,1923
amnhc_2000167,amnhp_1002377,identity,participantIn,1923
amnhc_2000167,amnhp_1002378,identity,participantIn,1922
amnhc_2000167,amnhp_1002379,identity,participantIn,1925
amnhc_2000167,amnhp_1002380,identity,participantIn,1925
amnhc_2000167,amnhp_1001371,identity,,
amnhc_2000167,amnhp_1001477,identity,participantIn,1922
amnhc_2000167,amnhp_1001511,identity,participantIn,1925
amnhc_2000167,amnhp_1001558,identity,participantIn,1923
amnhc_2000167,amnhp_1002381,identity,participantIn,1928
amnhc_2000167,amnhp_1001660,identity,participantIn,1928
amnhc_2000167,amnhp_1001662,identity,participantIn,1921
amnhc_2000167,amnhp_1002382,identity,participantIn,1925
amnhc_2000167,amnhp_1002383,identity,participantIn,1925
amnhc_2000167,amnhp_1002384,identity,participantIn,1922
amnhc_2000167,amnhp_1001980,identity,participantIn,1928
amnhc_2000167,amnhp_1000374,identity,participantIn,1930
amnhc_2000167,amnhp_1002091,identity,participantIn,1928
amnhc_2000167,amnhp_1002385,identity,participantIn,1930
amnhc_2000167,amnhp_1002313,identity,participantIn,1923
amnhc_2000167,amnhp_1002386,identity,participantIn,
amnhc_2000167,amnhp_1002387,identity,participantIn,
amnhc_2000167,amnhp_1002388,identity,participantIn,
amnhc_2000167,amnhp_1002389,identity,participantIn,
amnhc_2000167,amnhp_1002390,identity,participantIn,
amnhc_2000167,amnhp_1002391,identity,participantIn,
amnhc_2000167,amnhp_1002392,identity,participantIn,
amnhc_2000167,amnhp_1002393,identity,participantIn,
amnhc_2000167,amnhp_1002394,identity,participantIn,
amnhc_2000167,amnhp_1002395,identity,participantIn,1922
amnhc_2000167,amnhp_1002396,identity,participantIn,
amnhc_2000167,amnhp_1002397,identity,participantIn,
amnhc_2000167,amnhp_1002398,identity,participantIn,
amnhc_2000167,amnhp_1002399,identity,participantIn,
amnhc_2000167,amnhp_1002400,identity,participantIn,1928
amnhc_2000167,amnhp_1001569,identity,participantIn,
amnhc_2000167,amnhp_1002401,identity,participantIn,
amnhc_2000167,amnhp_1002402,identity,participantIn,
amnhc_2000167,amnhp_1002403,identity,participantIn,
amnhc_2000167,amnhp_1002404,identity,participantIn,
amnhc_2000167,amnhp_1002405,identity,participantIn,
amnhc_2000167,amnhp_1002406,identity,participantIn,
amnhc_2000167,amnhp_1000043,identity,,1921
amnhc_2000167,amnhp_1002407,identity,participantIn,
amnhc_2000167,amnhp_1002408,identity,participantIn,1921
amnhc_2000167,amnhc_0000001,identity,,1921
amnhc_2000167,amnhp_1002409,identity,participantIn,
amnhc_2000167,amnhp_1002410,identity,participantIn,
amnhc_2000167,amnhp_1002411,identity,participantIn,
amnhc_2000167,amnhp_1002412,identity,participantIn,
amnhc_2000167,amnhp_1002413,identity,participantIn,
amnhc_2000167,http://id.loc.gov/authorities/names/n83168513,identity,,1921
amnhc_2000167,http://id.loc.gov/authorities/names/nr00015629,identity,,1921
amnhc_2000182,amnhp_1000683,identity,participantIn,1922
amnhc_2000182,amnhp_1002155,identity,participantIn,1922
amnhc_2000182,amnhp_1002353,identity,participantIn,1922
amnhc_2000182,amnhp_1002354,identity,participantIn,1922
amnhc_2000182,amnhp_1002355,identity,participantIn,approximately 1923
amnhc_2000182,amnhc_0000001,identity,,1922
amnhc_2000182,amnhp_1001569,identity,,1922
amnhc_2000182,amnhp_1002356,identity,participantIn,1923
amnhc_2000182,amnhp_1002357,identity,participantIn,1923
amnhc_2000182,amnhp_1002358,identity,participantIn,1923
amnhc_2000182,amnhp_1002359,identity,participantIn,1923
amnhc_2000182,amnhp_1002360,identity,participantIn,1923
amnhc_2000182,amnhp_1002361,identity,participantIn,1923
amnhc_2000182,amnhp_1002362,identity,participantIn,1923
amnhc_2000182,amnhp_1002363,identity,participantIn,1923
amnhc_2000182,amnhp_1000315,identity,participantIn,1927
amnhc_2000182,amnhp_1001794,identity,participantIn,1927
amnhc_2000182,amnhp_1002364,identity,participantIn,1924
amnhc_2000182,amnhp_1002365,identity,participantIn,1924
amnhc_2000182,amnhp_1002366,identity,participantIn,1927
amnhc_2000182,amnhp_1002367,identity,,1929
amnhc_2000182,amnhc_4000055,identity,,1930
amnhc_2000182,amnhp_1000391,identity,,1928
amnhc_2000182,amnhp_1001112,identity,,1928
amnhc_2000182,amnhp_1000047,identity,,1928
amnhc_2000182,amnhp_1001768,identity,,1928
amnhc_2000182,amnhp_1001078,identity,,1928
amnhc_2000182,amnhp_1001014,identity,,1928
amnhc_2000211,amnhp_1001464,identity,participantIn,1886
amnhc_2000211,amnhp_1000391,identity,participantIn,1883
amnhc_2000211,amnhp_1000042,identity,participantIn,1884
amnhc_2000219,amnhp_1000017,identity,participantIn,1926
amnhc_2000219,amnhp_1000615,identity,participantIn,1926
amnhc_2000219,amnhp_1001659,identity,participantIn,1926
amnhc_2000219,amnhp_1000019,identity,participantIn,1926
amnhc_2000219,amnhp_1002414,identity,participantIn,1926
amnhc_2000219,amnhp_1002415,identity,participantIn,1926
amnhc_2000219,amnhp_1001104,identity,participantIn,1926
amnhc_2000219,amnhp_1001107,identity,participantIn,1926
amnhc_2000219,amnhp_1001250,identity,participantIn,1926
amnhc_2000219,amnhp_1001087,identity,participantIn,1926
amnhc_2000219,amnhp_1002431,identity,participantIn,1926
amnhc_2000219,amnhp_1001696,identity,participantIn,1926
amnhc_2000219,amnhp_1001610,identity,participantIn,1926
amnhc_2000219,amnhp_1002416,identity,participantIn,1926
amnhc_2000219,amnhp_1002417,identity,participantIn,1926
amnhc_2000219,amnhp_1002418,identity,participantIn,1926
amnhc_2000219,amnhp_1002419,identity,participantIn,1926
amnhc_2000219,amnhp_1002420,identity,participantIn,1926
amnhc_2000326,amnhp_1002155,identity,participantIn,
amnhc_2000326,amnhp_1001718,identity,participantIn,
amnhc_2000326,amnhp_1002495,identity,participantIn,
amnhc_2000326,amnhp_1002496,identity,participantIn,
amnhc_2000326,amnhp_1002497,identity,participantIn,
amnhc_2000326,amnhp_1002498,identity,participantIn,
amnhc_2000326,amnhp_1002499,identity,participantIn,
amnhc_2000326,amnhp_1002500,identity,participantIn,
amnhc_2000326,amnhp_1002501,identity,participantIn,
amnhc_2000326,amnhp_1002502,identity,participantIn,
amnhc_2000326,http://id.loc.gov/authorities/names/n83185912,identity,collaboratesWith,
amnhc_2000719,amnhp_1001310,,,
amnhc_3000010,amnhp_1001097,identity,participantIn,
amnhc_3000010,amnhp_1001840,identity,employedBy,
amnhc_3000010,new,identity,employedBy,
amnhc_3000010,amnhp_1000556,identity,participantIn,
amnhc_3000010,amnhp_1001458,identity,participantIn,
amnhc_3000010,amnhp_1001306,identity,participantIn,
amnhc_3000010,amnhp_1000930,identity,participantIn,
amnhc_3000010,amnhp_1002039,identity,participantIn,
amnhc_3000010,amnhp_1001669,identity,participantIn,
amnhc_3000010,amnhp_1001389,identity,participantIn,
amnhc_3000010,amnhp_1002056,identity,participantIn,
amnhc_3000010,amnhp_1000047,identity,participantIn,
amnhc_3000010,amnhp_1000371,identity,participantIn,
amnhc_3000010,amnhp_1001901,identity,participantIn,
amnhc_3000010,amnhp_1000264,identity,participantIn,
amnhc_3000010,new,identity,participantIn,
amnhc_3000010,amnhp_1000049,identity,participantIn,
amnhc_3000010,amnhp_1000253,identity,participantIn,
amnhc_3000010,amnhp_1001219,identity,participantIn,
amnhc_3000010,amnhp_1001420,identity,participantIn,
amnhc_3000010,new,identity,participantIn,
amnhc_3000010,amnhp_1001938,identity,participantIn,
amnhc_3000010,amnhc_2000038,identity,participantIn,1897
amnhc_3000010,amnhc_2000052,identity,participantIn,1905
amnhc_3000010,amnhc_2000128,identity,participantIn,1915
amnhc_3000010,amnhc_2000164,identity,participantIn,1920
amnhc_3000010,amnhc_2000183,identity,participantIn,1922
amnhc_3000010,amnhc_2000208,identity,participantIn,1926
amnhc_3000010,amnhc_2000236,identity,participantIn,1927
amnhc_3000010,amnhc_2000242,identity,participantIn,1928
amnhc_3000010,amnhc_2000247,identity,participantIn,1928
amnhc_3000010,amnhc_2000305,identity,participantIn,1933
amnhc_3000010,amnhc_2000292,identity,participantIn,1931
amnhc_3000010,amnhc_2000322,identity,participantIn,1934
amnhc_3000010,amnhc_2000332,identity,participantIn,1935
amnhc_3000010,amnhc_2000443,identity,participantIn,1946
amnhc_3000010,http://id.loc.gov/authorities/names/n79138841.html,identity,participantIn,
amnhc_3000010,http://id.loc.gov/authorities/names/n50066764.html,identity,participantIn,
amnhc_3000013,amnhp_1000556,identity,employedBy,1909
amnhc_3000013,amnhp_1000519,identity,employedBy,1909
amnhc_3000013,amnhp_1001858,identity,employedBy,1916
amnhc_3000013,amnhp_1001528,identity,employedBy,1917
amnhc_3000013,amnhp_1001564,identity,employedBy,1922
amnhc_3000013,amnhp_1001662,identity,employedBy,1926
amnhc_3000013,amnhp_1000314,identity,employedBy,1929
amnhc_3000013,amnhp_1000220,identity,employedBy,1936
amnhc_3000013,amnhp_1000405,identity,employedBy,1942
amnhc_3000013,amnhp_1001553,identity,employedBy,1942
