id,url,title,dateIssued,pdfUrl,thumbUrl
6312,http://digitallibrary.amnh.org/handle/2246/6312?show=full,"Annual report, 1998-1999.",1999,http://digitallibrary.amnh.org/bitstream/handle/2246/6312/R1998.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6312/R1998.pdf.jpg?sequence=4&isAllowed=y
6311,http://digitallibrary.amnh.org/handle/2246/6311?show=full,"Annual report, 1997-1998.",1998,http://digitallibrary.amnh.org/bitstream/handle/2246/6311/R1997.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6311/R1997.pdf.jpg?sequence=4&isAllowed=y
6310,http://digitallibrary.amnh.org/handle/2246/6310?show=full,"Annual report, 1996-1997.",1997,http://digitallibrary.amnh.org/bitstream/handle/2246/6310/R1996.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6310/R1996.pdf.jpg?sequence=4&isAllowed=y
6309,http://digitallibrary.amnh.org/handle/2246/6309?show=full,"Biennial report, 1994-1995/1995-1996.",1996,http://digitallibrary.amnh.org/bitstream/handle/2246/6309/R1994.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6309/R1994.pdf.jpg?sequence=4&isAllowed=y
6293,http://digitallibrary.amnh.org/handle/2246/6293?show=full,"Annual report, 1978-1979.",1979,http://digitallibrary.amnh.org/bitstream/handle/2246/6293/R1978.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6293/R1978.pdf.jpg?sequence=4&isAllowed=y
6292,http://digitallibrary.amnh.org/handle/2246/6292?show=full,"Annual report, 1977-1978.",1978,http://digitallibrary.amnh.org/bitstream/handle/2246/6292/R1977.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6292/R1977.pdf.jpg?sequence=4&isAllowed=y
6291,http://digitallibrary.amnh.org/handle/2246/6291?show=full,"Annual report, 1976-1977.",1977,http://digitallibrary.amnh.org/bitstream/handle/2246/6291/R1976.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6291/R1976.pdf.jpg?sequence=4&isAllowed=y
6290,http://digitallibrary.amnh.org/handle/2246/6290?show=full,"Annual report, 1975-1976.",1976,http://digitallibrary.amnh.org/bitstream/handle/2246/6290/R1975.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6290/R1975.pdf.jpg?sequence=4&isAllowed=y
6289,http://digitallibrary.amnh.org/handle/2246/6289?show=full,"Annual report, 1974-1975.",1975,http://digitallibrary.amnh.org/bitstream/handle/2246/6289/R1974.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6289/R1974.pdf.jpg?sequence=4&isAllowed=y
6288,http://digitallibrary.amnh.org/handle/2246/6288?show=full,"Annual report, 1973-1974.",1974,http://digitallibrary.amnh.org/bitstream/handle/2246/6288/R1973.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6288/R1973.pdf.jpg?sequence=4&isAllowed=y
6287,http://digitallibrary.amnh.org/handle/2246/6287?show=full,"Annual report, 1972-1973.",1973,http://digitallibrary.amnh.org/bitstream/handle/2246/6287/R1972.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6287/R1972.pdf.jpg?sequence=4&isAllowed=y
6286,http://digitallibrary.amnh.org/handle/2246/6286?show=full,"Annual report, 1971.",1972,http://digitallibrary.amnh.org/bitstream/handle/2246/6286/R1971.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6286/R1971.pdf.jpg?sequence=4&isAllowed=y
6285,http://digitallibrary.amnh.org/handle/2246/6285?show=full,"Annual report, 1970.",1971,http://digitallibrary.amnh.org/bitstream/handle/2246/6285/R1970.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6285/R1970.pdf.jpg?sequence=4&isAllowed=y
6284,http://digitallibrary.amnh.org/handle/2246/6284?show=full,"Annual report, 1969.",1970,http://digitallibrary.amnh.org/bitstream/handle/2246/6284/R1969.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6284/R1969.pdf.jpg?sequence=4&isAllowed=y
6283,http://digitallibrary.amnh.org/handle/2246/6283?show=full,"Annual report, 1968.",1969,http://digitallibrary.amnh.org/bitstream/handle/2246/6283/R1968.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6283/R1968.pdf.jpg?sequence=4&isAllowed=y
6282,http://digitallibrary.amnh.org/handle/2246/6282?show=full,"Annual report, 1967.",1968,http://digitallibrary.amnh.org/bitstream/handle/2246/6282/R1967.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6282/R1967.pdf.jpg?sequence=4&isAllowed=y
6281,http://digitallibrary.amnh.org/handle/2246/6281?show=full,"Annual report, 1966.",1967,http://digitallibrary.amnh.org/bitstream/handle/2246/6281/R1966.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6281/R1966.pdf.jpg?sequence=4&isAllowed=y
6280,http://digitallibrary.amnh.org/handle/2246/6280?show=full,"Annual report, 1965.",1966,http://digitallibrary.amnh.org/bitstream/handle/2246/6280/R1965.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6280/R1965.pdf.jpg?sequence=4&isAllowed=y
6279,http://digitallibrary.amnh.org/handle/2246/6279?show=full,"Annual report, 1964.",1965,http://digitallibrary.amnh.org/bitstream/handle/2246/6279/R1964.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6279/R1964.pdf.jpg?sequence=4&isAllowed=y
